MD,INC,AZI
39,0,0
40,0,0
50,0,0
60,0,0
70,0,0
80,0,0
90,0,0
100,0,0
110,0,0
120,0,0
130,0,0
140,0,0
150,0,0
160,0,0
170,0,0
180,0,0
190,0,0
200,0,0
210,0,0
220,0,0
230,0,0
240,0,0
250,0,0
260,0,0
270,0,0
280,0,0
290,0,0
300,0,0
310,0,0
320,0,0
330,0,0
340,0,0
350,0,0
360,0,0
370,0,0
380,0,0
390,0,0
400,0,0
410,0.1,302.5
420,0.2,302.5
430,0.3,302.5
440,0.4,302.5
450,0.5,302.5
460,0.6,302.5
470,0.7,302.5
480,0.8,302.5
490,0.9,302.5
500,1,302.5
510,1.1,302.5
520,1.2,302.5
530,1.3,302.5
540,1.4,302.5
550,1.5,302.5
560,1.67,302.5
570,1.85,302.5
580,2.02,302.5
590,2.2,302.5
600,2.37,302.5
610,2.55,302.5
620,2.72,302.5
630,2.9,302.5
640,3.07,302.5
650,3.25,302.5
660,3.43,302.5
670,3.6,302.5
680,3.78,302.5
690,3.95,302.5
700,4.13,302.5
710,4.3,302.5
720,4.48,302.5
730,4.65,302.5
740,4.83,302.5
750,5,302.5
760,5.18,302.5
770,5.35,302.5
780,5.53,302.5
790,5.7,302.5
800,5.88,302.5
810,6.05,302.5
820,6.23,302.5
830,6.4,302.5
840,6.58,302.5
850,6.75,302.5
860,6.93,302.5
870,7.1,302.5
880,7.28,302.5
890,7.45,302.5
900,7.63,302.5
910,7.8,302.5
920,7.98,302.5
930,8.15,302.5
940,8.33,302.5
950,8.5,302.5
960,8.68,302.5
970,8.85,302.5
980,9.03,302.5
990,9.2,302.5
1000,9.38,302.5
1010,9.55,302.5
1020,9.73,302.5
1030,9.9,302.5
1040,10.08,302.5
1050,10.25,302.5
1060,10.43,302.5
1070,10.6,302.5
1080,10.78,302.5
1090,10.95,302.5
1100,11.13,302.5
1110,11.3,302.5
1120,11.48,302.5
1130,11.65,302.5
1140,11.83,302.5
1150,12,302.5
1160,12.18,302.5
1170,12.35,302.5
1180,12.53,302.5
1190,12.7,302.5
1200,12.88,302.5
1210,13.05,302.5
1220,13.23,302.5
1230,13.4,302.5
1240,13.58,302.5
1250,13.75,302.5
1260,13.93,302.5
1270,14.1,302.5
1280,14.28,302.5
1290,14.45,302.5
1300,14.63,302.5
1310,14.8,302.5
1320,14.98,302.5
1330,15.15,302.5
1340,15.33,302.5
1350,15.5,302.5
1360,15.68,302.5
1370,15.85,302.5
1380,16.03,302.5
1390,16.2,302.5
1400,16.38,302.5
1410,16.55,302.5
1420,16.73,302.5
1430,16.9,302.5
1440,17.08,302.5
1450,17.25,302.5
1460,17.43,302.5
1470,17.6,302.5
1480,17.78,302.5
1490,17.95,302.5
1500,18.13,302.5
1510,18.3,302.5
1520,18.48,302.5
1530,18.65,302.5
1540,18.83,302.5
1550,19,302.5
1554.02,19.07,302.5
1560,19.07,302.5
1570,19.07,302.5
1580,19.07,302.5
1590,19.07,302.5
1600,19.07,302.5
1610,19.07,302.5
1620,19.07,302.5
1630,19.07,302.5
1640,19.07,302.5
1650,19.07,302.5
1659.82,19.07,302.5
1660,19.07,302.5
1670,19.35,302.5
1680,19.63,302.5
1690,19.9,302.5
1700,20.18,302.5
1710,20.45,302.5
1720,20.73,302.5
1730,21,302.5
1740,21.28,302.5
1750,21.55,302.5
1760,21.83,302.5
1770,22.1,302.5
1780,22.38,302.5
1790,22.65,302.5
1800,22.93,302.5
1810,23.2,302.5
1820,23.48,302.5
1830,23.75,302.5
1840,24.03,302.5
1850,24.3,302.5
1860,24.58,302.5
1870,24.85,302.5
1880,25.13,302.5
1890,25.4,302.5
1900,25.68,302.5
1910,25.95,302.5
1920,26.23,302.5
1930,26.5,302.5
1940,26.78,302.5
1950,27.05,302.5
1960,27.33,302.5
1970,27.6,302.5
1980,27.88,302.5
1990,28.15,302.5
2000,28.43,302.5
2010,28.7,302.5
2020,28.98,302.5
2030,29.25,302.5
2040,29.53,302.5
2050,29.8,302.5
2060,30.08,302.5
2070,30.35,302.5
2080,30.63,302.5
2090,30.9,302.5
2100,31.18,302.5
2110,31.45,302.5
2120,31.73,302.5
2130,32,302.5
2140,32.28,302.5
2150,32.55,302.5
2160,32.83,302.5
2170,33.1,302.5
2180,33.38,302.5
2190,33.65,302.5
2200,33.93,302.5
2210,34.2,302.5
2220,34.48,302.5
2230,34.75,302.5
2240,35.03,302.5
2250,35.3,302.5
2260,35.58,302.5
2270,35.85,302.5
2280,36.13,302.5
2290,36.4,302.5
2300,36.68,302.5
2310,36.95,302.5
2320,37.23,302.5
